Year,MU.Name,Location,River.condition.Category,Stream.Name,Affiliation,Collection.Method,Rec.Date,Reach,Rec.Sex,Carc.Cond,Percent.Spawn,POH,Rec.Adipose,Clip.Condition,Pred.Affected,Recovery.Comments,Scalebook.Num,Row.Num,Scale.File,Gilbert.Rich.Age.Scale,European.Age.Scale,Partial.Age.Scale,Otolith.Samples,Otolith.Vial.Num
2016,Summer 5sub2,Williams Lake,Large; high Chinook density; multi-species issues,Chilko,DFO,Mark-Recapture,2016-09-13,6,F,1,100,72.9,P,NA,,,13559,4,ch2016-0329,52,1.3,,,
2016,Summer 5sub2,Williams Lake,Large; high Chinook density; multi-species issues,Chilko,DFO,Mark-Recapture,2016-09-13,7,M,1,NA,54.9,P,NA,,,13559,5,ch2016-0329,2M,M2,RG,,
2016,Summer 5sub2,Williams Lake,Large; high Chinook density; multi-species issues,Chilko,DFO,Mark-Recapture,2016-09-13,8,M,1,NA,58,P,NA,,,13596,1,ch2016-0329,42,1.2,,,
2016,Summer 5sub2,Williams Lake,Large; high Chinook density; multi-species issues,Chilko,DFO,Mark-Recapture,2016-09-14,3,F,1,100,68.2,P,NA,,,13596,2,ch2016-0329,52,1.3,,,
2016,Summer 5sub2,Williams Lake,Large; high Chinook density; multi-species issues,Chilko,DFO,Mark-Recapture,2016-09-14,4,M,1,NA,71.3,P,NA,,,13596,3,ch2016-0329,52,1.3,,,
2016,Summer 5sub2,Williams Lake,Large; high Chinook density; multi-species issues,Chilko,DFO,Mark-Recapture,2016-09-14,4,F,1,100,66.6,P,NA,,,13596,4,ch2016-0329,2M,M2,RG,,
2016,Summer 5sub2,Williams Lake,Large; high Chinook density; multi-species issues,Chilko,DFO,Mark-Recapture,2016-09-14,5,F,2,NK,65.4,P,NA,,,13596,5,ch2016-0329,52,1.3,,,
2016,Summer 5sub2,Williams Lake,Large; high Chinook density; multi-species issues,Chilko,DFO,Mark-Recapture,2016-09-15,6,M,1,NA,58.2,P,NA,,,13597,1,ch2016-0329,42,1.2,,,
2016,Summer 5sub2,Williams Lake,Large; high Chinook density; multi-species issues,Chilko,DFO,Mark-Recapture,2016-09-15,7,M,1,NA,54,P,NA,,,13597,2,ch2016-0329,42,1.2,,,
2016,Summer 5sub2,Williams Lake,Large; high Chinook density; multi-species issues,Chilko,DFO,Mark-Recapture,2016-09-15,8,M,1,NA,73.1,P,NA,,,13597,3,ch2016-0329,52,1.3,,,
2016,Summer 5sub2,Williams Lake,Large; high Chinook density; multi-species issues,Chilko,DFO,Mark-Recapture,2016-09-16,5,M,1,NA,61.7,P,NA,,,13597,4,ch2016-0329,42,1.2,,,
2016,Summer 5sub2,Williams Lake,Large; high Chinook density; multi-species issues,Chilko,DFO,Mark-Recapture,2016-09-16,5,M,1,NA,72.8,P,NA,,,13597,5,ch2016-0329,52,1.3,,,
2016,Summer 5sub2,Williams Lake,Large; high Chinook density; multi-species issues,Chilko,DFO,Mark-Recapture,2016-09-16,4,F,1,100,77.2,P,NA,,,13598,1,ch2016-0329,62,1.4,,,
2016,Summer 5sub2,Williams Lake,Large; high Chinook density; multi-species issues,Chilko,DFO,Mark-Recapture,2016-09-16,4,F,1,100,71.3,P,NA,,,13598,2,ch2016-0329,52,1.3,,,
2016,Summer 5sub2,Williams Lake,Large; high Chinook density; multi-species issues,Chilko,DFO,Mark-Recapture,2016-09-16,4,F,1,100,65.8,P,NA,,,13598,3,ch2016-0329,3M,M3,RG,,
2016,Summer 5sub2,Williams Lake,Large; high Chinook density; multi-species issues,Chilko,DFO,Mark-Recapture,2016-09-16,4,M,1,NA,48.4,P,NA,,,13598,4,ch2016-0329,42,1.2,,,
2016,Summer 5sub2,Williams Lake,Large; high Chinook density; multi-species issues,Chilko,DFO,Mark-Recapture,2016-09-16,4,M,1,NA,73.5,P,NA,,,13598,5,ch2016-0329,52,1.3,,,
2016,Summer 5sub2,Williams Lake,Large; high Chinook density; multi-species issues,Chilko,DFO,Mark-Recapture,2016-09-16,4,J,1,NA,39.8,P,NA,,,13451,1,ch2016-0329,32,1.1,,,
2016,Summer 5sub2,Williams Lake,Large; high Chinook density; multi-species issues,Chilko,DFO,Mark-Recapture,2016-09-16,3,F,1,100,70,P,NA,,,13600,1,ch2016-0329,52,1.3,,,
2016,Summer 5sub2,Williams Lake,Large; high Chinook density; multi-species issues,Chilko,DFO,Mark-Recapture,2016-09-17,6,M,1,NA,75.7,P,NA,,,13600,2,ch2016-0329,52,1.3,,,
2016,Summer 5sub2,Williams Lake,Large; high Chinook density; multi-species issues,Chilko,DFO,Mark-Recapture,2016-09-17,6,F,1,100,71.4,P,NA,,,13600,3,ch2016-0329,S2,1F,UM,,
2016,Summer 5sub2,Williams Lake,Large; high Chinook density; multi-species issues,Chilko,DFO,Mark-Recapture,2016-09-17,6,F,1,100,68,P,NA,,,13600,4,ch2016-0329,52,1.3,,,
2016,Summer 5sub2,Williams Lake,Large; high Chinook density; multi-species issues,Chilko,DFO,Mark-Recapture,2016-09-17,8,M,1,NA,73.2,P,NA,,,13580,1,ch2016-0329,42,1.2,,,
2016,Summer 5sub2,Williams Lake,Large; high Chinook density; multi-species issues,Chilko,DFO,Mark-Recapture,2016-09-17,7,F,1,100,72.2,P,NA,,,13572,1,ch2016-0329,52,1.3,,,
2016,Summer 5sub2,Williams Lake,Large; high Chinook density; multi-species issues,Chilko,DFO,Mark-Recapture,2016-09-18,4,F,1,100,72.5,P,NA,,,13572,2,ch2016-0329,52,1.3,,,
2016,Summer 5sub2,Williams Lake,Large; high Chinook density; multi-species issues,Chilko,DFO,Mark-Recapture,2016-09-18,4,M,1,NA,73.3,P,NA,,,13572,3,ch2016-0329,52,1.3,,,
2016,Summer 5sub2,Williams Lake,Large; high Chinook density; multi-species issues,Chilko,DFO,Mark-Recapture,2016-09-18,4,F,1,100,69,P,NA,,,13572,4,ch2016-0329,52,1.3,,,
2016,Summer 5sub2,Williams Lake,Large; high Chinook density; multi-species issues,Chilko,DFO,Mark-Recapture,2016-09-18,4,F,1,100,72.4,P,NA,,,13572,5,ch2016-0329,52,1.3,,,
2016,Summer 5sub2,Williams Lake,Large; high Chinook density; multi-species issues,Chilko,DFO,Mark-Recapture,2016-09-18,4,F,1,100,59.7,P,NA,,,13574,1,ch2016-0329,42,1.2,,,
2016,Summer 5sub2,Williams Lake,Large; high Chinook density; multi-species issues,Chilko,DFO,Mark-Recapture,2016-09-18,3,F,1,100,68.4,A,2,,appears to be clipped,13580,2,ch2016-0329,52,1.3,,,
2016,Summer 5sub2,Williams Lake,Large; high Chinook density; multi-species issues,Chilko,DFO,Mark-Recapture,2016-09-18,5,M,1,NA,54.1,P,NA,,,13580,3,ch2016-0329,42,1.2,,,
2016,Summer 5sub2,Williams Lake,Large; high Chinook density; multi-species issues,Chilko,DFO,Mark-Recapture,2016-09-18,4,F,1,100,56.8,P,NA,,,13600,5,ch2016-0329,42,1.2,,,
2016,Summer 5sub2,Williams Lake,Large; high Chinook density; multi-species issues,Chilko,DFO,Mark-Recapture,2016-09-19,6,M,2,NA,78.6,P,NA,,,13580,4,ch2016-0329,52,1.3,,,
2016,Summer 5sub2,Williams Lake,Large; high Chinook density; multi-species issues,Chilko,DFO,Mark-Recapture,2016-09-19,6,M,1,NA,57.9,P,NA,,,13580,5,ch2016-0329,42,1.2,,,
